Experiment,Average Error,Average Absolute Error,Gender,Education,Experience interpreting graphs and charts,Age,Comments
Exp3,-0.023,0.212,Female,College degree,2,34,
Exp3,-0.001,0.073,Male,High school degree,0,43,This was a fun study. Thank you.
Exp3,-0.021,0.122,Male,High school degree,0,24,
Exp3,-0.019,0.091,Male,College degree,2,28,cool HIT wish I could do more!
Exp3,0,0.087,Female,Some college,2,21,
Exp3,-0.011,0.124,Female,High school degree,1,31,Thank you and good luck with your research. 
Exp3,0.029,0.133,Male,College degree,1,28,
Exp3,-0.019,0.129,Female,High school degree,2,34,
Exp3,-0.022,0.115,Female,College degree,2,39,
Exp3,0.014,0.126,Female,Some college,1,48,
Exp3,-0.102,0.407,Male,College degree,0,46,
Exp3,-0.038,0.108,Male,High school degree,2,29,
Exp3,-0.002,0.109,Male,College degree,0,34,
Exp3,-0.013,0.078,Male,High school degree,1,39,
Exp3,-0.013,0.078,Male,Some college,1,22,
Exp3,-0.012,0.07,Male,Some college,0,49,
Exp3,-0.028,0.171,Female,College degree,1,51,
Exp3,-0.026,0.103,Female,Graduate degree,2,46,
Exp3,0.014,0.115,Male,High school degree,2,34,
Exp3,0.003,0.074,Female,College degree,2,27,
Exp3,-0.019,0.179,Male,High school degree,2,38,enjoyed.
Exp3,0.01,0.092,Male,Some college,2,24,answer button was a bit buggy.  made me skip one.
Exp3,-0.01,0.103,Male,College degree,2,25,None
Exp3,-0.031,0.138,Male,Some college,2,41,
Exp3,-0.006,0.211,Male,High school degree,1,41,Thank You
Exp3,-0.007,0.077,Male,College degree,2,24,
Exp3,-0.027,0.077,Male,High school degree,2,25,It was a very interesting task. Thank you for the opportunity!
Exp3,0.01,0.186,Female,College degree,3,35,"None, thank you so much!"
Exp3,-0.034,0.091,Male,Graduate degree,2,24,no
Exp3,-0.013,0.237,Female,Some college,2,29,
Exp3,-0.024,0.073,Female,Some college,2,37,
